Patent ID,Member Start Date,Member End Date,Membership Amount
1001,1/1/77,1/1/09," $43,781.00 "
1002,1/2/77,1/1/11," $48,136.00 "
1003,1/3/77,4/1/11," $90,361.00 "
1004,1/4/77,3/1/00," $55,385.00 "
1005,1/5/77,1/1/09," $70,652.00 "
1006,1/6/77,1/1/11," $31,795.00 "
1007,1/7/77,4/1/11," $79,022.00 "
1008,1/8/77,3/1/00," $68,353.00 "
1009,1/9/77,1/1/09," $34,711.00 "
1010,1/10/77,1/1/11," $64,098.00 "
1011,1/1/81,1/1/09," $71,000.00 "
1012,1/2/81,1/1/11," $58,418.00 "
1013,1/3/81,4/1/11," $2,216.00 "
1014,1/4/81,3/1/00," $58,874.00 "
1015,1/5/81,1/1/09," $50,440.00 "
1016,1/6/81,," $59,425.00 "
1017,1/7/81,4/1/11," $50,762.00 "
1018,1/8/81,3/1/00," $52,705.00 "
1019,1/9/81,," $2,288.00 "
1020,1/1/99,1/1/11," $17,902.00 "
1021,1/2/99,1/1/09," $30,963.00 "
1022,1/3/99,1/1/11," $58,276.00 "
1023,1/4/99,4/1/11," $31,204.00 "
1024,1/5/99,3/1/00," $57,500.00 "
1025,1/6/99,1/1/09," $28,228.00 "
1026,1/7/99,1/1/11," $7,759.00 "
1027,1/8/99,4/1/11," $95,886.00 "
1028,1/9/99,," $32,846.00 "
1029,1/10/99,," $94,809.00 "
1030,1/1/18,," $80,380.00 "
1031,1/2/18,," $70,044.00 "
1032,1/3/18,," $49,435.00 "
1033,1/4/18,," $65,202.00 "
1034,1/5/18,," $35,525.00 "
1035,1/6/18,," $15,934.00 "
1036,1/7/18,," $93,896.00 "
1037,1/1/10,," $9,664.00 "
1038,1/2/10,," $82,845.00 "
1039,1/3/10,," $69,309.00 "
1040,1/4/10,," $60,545.00 "